Property Name,Property Code,Brand,#Rooms,Activation Date,Revenue,Profit Margin,Gross Profit,Flag,Size Subset,SPOR,Group,Type
Hilton Garden Inn Times Square,NYCMW,Hilto,369.0,2017-10-27,48190.59,0.7297,35164.64,Hilton Garden Inn,5,6.272227152478616,Select Service,Focused Service
InterContinental New Orleans,MSYHA,IHG,484.0,2018-09-20,22829.8,0.67301,15364.72,InterContinental,5,2.2653882633641413,Full Service,Full Service
DoubleTree Suites by Hilton Hotel Boston - Cambridge,BOSSB,Hilto,308.0,2018-06-11,22488.7,0.69884,15715.96,DoubleTree by Hilton,5,3.5067074451655844,Full Service,Full Service
Crowne Plaza Lansing West,LANCP,IHG,212.0,2018-10-26,611.0,0.60129,367.39,Crowne Plaza,5,0.13841757942224003,Full service,Full service
Homewood Suites Savannah Historic District,SAVRB,Hilto,162.0,2018-04-10,14439.6,0.63231,9130.27,Homewood Suites by Hilton,4,4.280810952728576,All Suites,All Suites
Embassy Suites Portland Washington Square,PDXBV,Hilto,356.0,2015-12-17,13588.0,0.62689,8518.14,Embassy Suites,5,1.8331223021210035,All Suites,All Suites
Homewood Suites New Orleans,MSYFR,Hilto,207.0,2017-07-20,12986.85,0.67318,8742.55,Homewood Suites by Hilton,5,3.01314047897863,All Suites,All Suites
Home2 Suites by Hilton Los Angeles Montebello,LGBMO,Hilto,203.0,2018-09-19,12807.53,0.70291,9002.53,Home2 Suites by Hilton,5,3.0300880234072953,All Suites,Focused Service
Embassy Suites Orlando Airport,MCOAT,Hilto,174.0,2018-02-02,11562.54,0.71074,8217.98,Embassy Suites,4,3.1914636392181595,All Suites,All Suites
Embassy Suites Orlando - International Drive / Convention Center,MCOOR,Hilto,244.0,2016-12-04,11148.42,0.65924,7349.5,Embassy Suites,5,2.1943676711510802,All Suites,All Suites
Hampton Inn Manhattan Times Square Central,NYCFF,Hilto,300.0,2015-07-01,10465.28,0.53745,5624.54,Hampton Inn by Hilton,5,1.6753883787349035,Select Service,Focused Service
Hilton Garden Inn Seattle Bellevue Downtown,SEABE,Hilto,254.0,2018-05-09,10438.75,0.61846,6455.97,Hilton Garden Inn,5,1.9737888032082975,Select Service,Focused Service
Embassy Suites by Hilton Miami International Airport,MIASP,Hilto,318.0,2018-02-06,9729.87,0.63859,6213.38,Embassy Suites,5,1.4694872378538686,All Suites,All Suites
Embassy Suites Crystal City National Airport,WASCR,Hilto,267.0,2015-09-25,9226.64,0.72738,6711.25,Embassy Suites,5,1.6596565163027905,All Suites,All Suites
